Aartje
Ada
Adela
Adele
Adelheid
Adelheide
Adelinde
Adeline
Adi
Adina
Adriana
Afroditi
Agata
Agathe
Agnes
Agnetha
Agnieszka
Aida
Aileen
Aisse
Ajda
Aje
Alana
Albertine
Albina
Albine
Aleksandra
Alena
Alessa
Alevtina
Alexandra
Alexe
Alexia
Alexsandra
Alice
Alicia
Alida
Alina
Aline
Aliya
Allyn
Alma
Almut
almuth
Alper
Alrun
Alwine
alya
alyane
Amanda
Amelia
Ana
Ananda
Anastasiya
Anat
Anca
Andita
Andra
Andrea
Andreike
Aneka
Anemon
Aneta
Anett
Anette
Angela
Angelica
Angelika
Angelina
Anica
Anika
Aniko
Anima
anina
Anita
Anja
Anka
Anke
ann
Ann-Cathrin
Ann-Christin
Ann-christine
Ann-Kathrin
Ann-Katrin
Ann-Kristin
Anna
Anna-Klara
Anna-Lea
Anna-Lena
Anna-Maria
Anna-Saskia
Annabell
Annamaria
Anne
Anne-Kathrin
Anne-Katrin
Anne-Marie
Annegret
Anneli
Annelie
Anneliese
Annely
Annemarie
Annerose
Annett
Annette
anni
Annika
Annina
Annita
Anorte
antje
Antoinette
Anton
Antonia
Antonie
Antonietta
Anuschka
Anya
Ariana
Ariane
Arista
Ariungerel
Arjeta
Arlen
Arlet
Arlett
Arvit
Asia
Astrid
Atina
Aude
Aurelia
Ayiba
Ayleen
Aylin
Aynur
Ayse
Azime
Babett
Baerbel
Bahar
Barbara
bb
Bea
Beata
Beate
Beatrice
Beatrix
behiye
Belinda
Bella
Benita
Berit
Bernadett
Bernadette
Berta
Berti
beta
Betina
Bettina
Betül
Biana
Bianca
Bianca-Diana
Bianka
Big
Biliana
Binnur
Birge
Birgit
Birgithe
Birgitt
Birgitta
Birnschein
Birte
Birthe
Bitte
Bjrgit
Bosiljka
Brigitta
Brigitte
Brit
Brita
Britt
Britta
Brunhild
Brunhilde
Bruni
Brünhild
Buggida
Bärbel
Canan
Caoimhe
Caren
Carin
Carina
Carla
Carlin
Carmen
Carola
Carole
Carolin
carolina
Caroline
Carolyn
Cassandra
catalina
Catharina
Catherine
Cathleen
Cathrin
Catja
Catrin
Celia
Celina
Celine
Cemile
Cennet
Cesrin
Ch
Chantal
Charlene
Charlotte
Charolyn
Chista
Chris
Christa
Christa-Maria
Christel
Christelle
Christiane
Christin
Christina
Christine
Christl
Cigdem
Cilly
Cindy
Claire
Clara
Clare
Claudia
COKAN
Colette
Concetta
Conelia
Conni
Conny
Constance
Constanze
Cora
Coral-Nadine
Cordelia
Cordula
Corina
Corinna
Corinne
cornelia
Corrinna
Cosima
Craciella
Cristina
Cryselda
Cynthia
Cäcilia
Dagmar
Dagmar-Ursel
Dai
dajana
Dana
Danica
Daniela
Daniele
Danielle
Danja
Danuta
Daria
Darja
Dawn
Dayna
Debora
Deborah
Deirdre
Delia
Demetria
Denise
Deniza
Dering
Derya
Devlet
Diana
Diandra
Diane
Diep
Diethilde
Dietlind
Dietlinde
Dietrun
Dilek
Dilyana
Dina
Doerte
Dominika
Dominike
Dominique
Donata
Dora
Doreen
Dorina
Doris
Dorit
Dorota
Dorothe
Dorothea
Dorothee
Dubravka
Dunja
Duoc
Dziyana
Désirée
Dörte
Dörthe
Ebba
Ebru
Ech
Eckert
Edda
Edelgard
Edeltraud
Edeltraut
Edeltrud
Edina
Edita
Edite
Edith
Editha
Edyta
Eeva
Eike
Eileen
Eilyn
Ekaterina
Eleana
Elena
Eleni
Eleonora
Eleonore
Elfi
Elfriede
Elga
elif
Elina
Elisa
Elisabeth
Elise
Eliza
Elizaveta
elke
Ellen
Elpida
Elsa
Elsbeth
Else
Elviera
Elvira
Emanuela
Emilia
Emine
Emma
Emmi
EMOEKE
Erica
Erika
Ermina
Erna
Ester
Esther
Esther-
Eugenia
Eun-ha
Eun-Hie
eunja
Eva
Eva-Corinna
Eva-Désirée
Eva-Lotta
Eva-Maria
Eva-Susanne
Evangeline
Eve-Kathrin
evelin
Evelina
Eveline
Evelyn
Evelyne
Evgenia
Evgeniya
Evi
Evita
ewa
Fabiola
fadi
Farida
farina
Faten
Fatiha
fatima
Fatma
Felice
Felicitas
Felizitas
fenna
ferhan
Figen
fikret
Filiz
Filomena
Fine
Finger
Fischer
Fleur
Fouzia
Franca
Frances
Francisca
Frank
Franka
Franziska
Frauke
Frederike
Friederike
Friedrun
Friesen
Funda
Gabi
Gabriela
Gabriela-Maria
Gabriele
Gabriella
Gaby
Galia
Galina
Gariele
Garnet
Gemma
Geneviève
Genz
Gerda
Gerhild
Gerith
Gerlind
Gerlinde
Gerti
Gertraud
Gertrud
Gertrude
Gesa
Gesche
Gesine
Giesela
Gina
Gine
Ginnie
Gioia
Giorgia
Giovanna
Gisa
Gisela
Gislinde
Gitta
Gitte
Giusy
Gleice
Golita
Gonja
Gordana
Graziella
Grazyna
Gretchen
Gretel
Grit
Gritt
GRUND
Gudrun
Gueldeniz
Guia
Gulshat
Gundi
Gundula
gunhild
Gunilla
Gusti
Gökcen
Güldane
Gülgün
Gülseren
Gülten
Günel
Günes
Hajnalka
Halime
Halina
Halka
Hang
hanim
Hanka
Hanna
Hannah
Hanne
Hanne-Dore
Hannelore
Hanni
Hans-Peter
Harriet
Hasibe
Haslinger
Hasnae
hatice
Havva
Hedi
Hedwig
Hedy
Heeper
Heide
Heidelinde
Heidemarie
Heiderose
Heidi
Heidi-Erika
Heidrun
Heike
Heinke
Helen
Helena
helene
Helga
helge
Heliane
Hella
Helma
helmtrud
Helmtrut
Henni
Henrietta
Henriette
Henrike
Herdit
herma
Herta
Hertha
Hete
Hilde
Hildegard
Hildegart
Hilke
Hille
Hiltrud
Hinderika
Hjördis
Hoai
Hua
Huberta
Hue-Fang
Huyen
Ida
Ildiko
Ilhem
Ilka
Ilona
Ilonka
Ilse
Imelda
Imke
Imme
Imogen
Ina
Inci
Indra
ines
Inga
Inga-Maja
Inge
Ingeborg
Ingeburg
Ingelore
Inger-Lise
Ingrid
Ingrid-Monika
Inka
Inke
Inken
Inna
Insa
Ioanna
Ira
Irena
Irene
Ires
Irfan
Irina
Iris
Iris-Heike
Irmgard
Irmhild
Irmi
Irmtraud
Irmtraut
Iryna
Isa
Isabel
Isabell
Isabella
Isabelle
Ischel
Isis
Isolde
Ivanka
Ivette
Ivonne
Izabela
Jacqueline
Jadranka
Jadwiga
Jaimi
Jale
Jana
Janani
Janet
Janett
Janette
Janin
Janina
Janine
Janne
Jantje
jaqueline
Jarmila
Jasmin
Jasmina
Jasmine
jasna
Jatta
Jayanthi
Jeanett
Jeanette
Jeanine
Jeannette
Jeannine
Jelena
Jelica
Jenifer
Jennifer
Jenny
Jessica
Jewgenia
Jia
Jill
JingJing
Jitka
Jlona
Joachim
Joana
Joanna
Jocelle
Joelle
Johanna
Jolafin
Jolanda
Jolanta
Josefine
Josephin
Josephina
Josephine
Josivânia
Josy
Joumana
Joung-Ah
Joyce
Jsolde
Juana
Judit
Judith
Judy
Julia
Juliana
Juliane
Julie
Julietta
Julija
Julika
Jurga
Justina
Justine
Justyna
Jutta
Jördis
Kader
Kamalasani
Kamila
Kamilla
Kaml
Karen
Karen-Helge
Karin
Karina
Karine
Karola
Karolin
Katalin
Katarina
Katarzyna
Katerina
Katharina
Katherina
Kathi
Kathleen
Kathlén
kathrin
Kathryn
Kati
Katja
Katjana
Katrin
Katy
Keller
Kemuran
Kerima
Kerrin
Kersti
Kerstin
Kibar
Kim
Kimmy
Kinga
Kira
Kirsten
Kirsti
Kirstin
Kirstina
Kisrten
Klara
Klaudia
Kleta
Klinikum
Konelija
Konstanze
Kora
Kordula
Kornelia
Kornelija
Kornvika
Krestin
Kriemhild
Kristin
Kristina
Kristine
kunze
Kyra
Laila
Laine
Lana
Lara
Lara-Sophie
Larisa
Larissa
Latifa
Laura
laurence
Laurie
Lea
Leane
Leena
Leila
Lena
Lene
Lenka
Leoni
Leonie
Leonore
Levken
Leyla
Lia
Liane
Lida
Lidia
Lidija
Lieselotte
Lilia
Lilian
Liliana
Liliane
Liljana
Lilli
Lillian
Lilo
Lin-Ya
Lina
linda
Lindita
Linnea
lioba
Lisa
Liselotte
Livia
Ljerka
Ljiljana
Loan
lone
Lore
Lorea
Loredana
Loreen
Lorenza
Loretta
Loubna
Louise
Luana
Lubow
Luca
Lucia
Lucie
Ludmila
Ludmilla
Ludwina
Luisa
Luise
Luitgard
Luzia
Luzie
lydia
Lynne
Lysann
Lütfiye
Lütke
Maarit
Maarja
Madeleine
Madlen
Magali
Magda
Magdalena
Magdalene
Magret
Mahnaz
Maia
maica
Maika
Maike
Mailin
Maja
Malaika
Malene
Malgorzata
Manal
Mandy
Manja
Manon
Manou
manuela
Mara
marcela
Marco
Marei
Mareike
Maren
Marga
Margareta
Margarete
Margaretha
Margarethe
margarita
Margaryta
Marghitta
Margit
Margitt
Margitta
Margot
Margret
Margrit
Margrith
Margrét
Mari
Maria
Maria-Anna
Maria-Heidi
Mariam
Mariana
Marianna
marianne
Marie
Marie-Christin
Marie-France
Marie-Jose
Marie-Luise
Marie-Theres
Marieluise
Marietta
Mariette
Marija
Marijana
MARIKA
Marina
Mariola
Marion
Mariora
Marisa
Marita
Maritta
Mariya
Marketa
Marlen
Marlena
Marlene
Marlies
Marliese
Marlin
Marlis
Marny
Marta
Martha
Martina
Marula
marwa
Mary
Maryam
Maryvonne
Marzena
Mathilde
Matthäa
May-Anne
Maya
Mayada
Mechthild
Mechthilde
Mechtilde
Mehmet
Mehtap
Meike
Mel
Melahat
Melanie
Melina
Meltem
meri
merle
Merlie
Meropi
Meryem
miatta
Michaela
Michele
Michelle
Mihaela
Mika
Milena
Milica
Militsa
Mine
Minh
Mini
Mira
Miral
Mirella
Miriam
Mirja
Mirjam
Mirjana
Miyoko
Mona
Monica
Monika
Monique
Morenz
Mouna
Muazzez
Musawir
Myriam
Nabiha
Naciye
Nada
Nadeschda
Nadeshda
Nadia
Nadien
Nadin
Nadine
Nadja
nadjet
Naemi
Naffi
Nagihan
Naicy
Naila
Nancy
Nanette
Nanine
Nannette
Nanni
Nardin
Nargis
Natala
Natali
Natalia
Natalie
Nataliya
Natalja
Natasa
Natascha
natasha
Nathalie
Nattaya
Nefiye
Nele
Nelia
Nelli
Nensi
Neslihan
Nevenka
Nguyet
Nickenig
Nicki
Nicola
Nicole
Nicoleta
Nikola
nilgün
Nimet
Nina
Niramon
Nitagrit
Noemi
Nora
norina
Norma
Notburga
Nune
Nunzia
Nuran
Nuray
Nurcan
nuriye
nutapron
Oczana
Oezlem
Ofelia
Oksana
Olga
Onyx
Ortrud
Ortrun
Otilia
Ottilie
Paloma
Pamela
Pamina
Panajota
Pandora
Paradyuk
Paraskevi
Pascale
Patrica
Patricia
Patrizia
Paula
Pauline
Peggy
Penka
Peruze
Petra
Petra-Barbara
Pfeffer
Pia
Ping-Ping
Pipattra
Platz
polina
Princess
Priscila
Priska
Qing
Qiong
Rabea
Rabia
Rachel
Ragna
Rahel
Raisa
Rajeswary
Ramona
Raphaela
Rarintip
rasemann
Reanate
Rebecca
Rebekka
Regina
Regina-Sandra
Regine
Regula
Reinhild
Remke
Rena
Renata
Renate
Renée
Ricarda
Rike
Rina
Rita
Roberta
Romansa
Romea
Romina
Rommy
Romy
Ronja
Rosa
Rosa-Maria
Rosalba
Rosanna
Rosario
Rosaura
Rose
Rosemaria
Rosemarie
Rosetta
Rosi
Rosiane
Rosmarie
Roswitha
Rosy
Rotraud
Rotraut
Roxana
Roya
Ruhugüzel
Rut
Ruth
Rösle
Saadet
Sabie
Sabina
Sabine
Sabrina
Sahaar
Sally
Salome
Samantha
Sandra
Sandy
Sangeeta
Sanja
Sara
Sarah
sarah-jane
sarita
Sascha
Sasha
Saskia
Sassia
Scarlett
Schabert
Schebnam
Scheid
Sehar
Selina
Selma
Semira
Senada
Senay
Senta
Sepalika
serpil
Setareh
Seung-Rae
Severine
Sevgi
Sevilay
Sheila
shirley
Shiyi
Shoko
Shuwen
Shuyi
Sibyll
Sibylle
Sieglinde
Siegrun
Siglinde
Signe
Sigrid
Sigrun
Sigtrud
Siham
Silja
Silke
Silvana
Silvia
Silvija
Simon
Simona
Simone
Simonetta
Sina
Sina-Kristin
Sindy
Sinja
Sippel
Siri
Sirini
Sirpa
Snejina
Snjezana
sofia
Sofie
Soja
Sola
Solange
Solenn
Solmaz
Solveig
Solvig
Sonia
Sonja
Sonnja
Sophia
Sophie
Souhaila
Stanislawa
Stefani
Stefanie
Steffanie
Steffi
Steinert
Stela
Stelamaris
Stephanie
Stephanoe
Suijing
Sukla
Sule
Sunhild
Susan
Susana
Susann
Susann-Marie
Susanna
Susanne
susi
Suzan
Suzana
Suzanne
suzy
Svenja
Svetlana
Svitlana
Swaantje
Swantje
Swetlana
Sybilla
Sybille
Sybille-Maria
Sylke
Sylva
Sylvana
Sylvette
Sylvia
Sylvia-Christina
Sylvie
Synnöva
Syrke
Sörin
Sünje
Süreyya
Tabea
Tahnee
tamara
Tamina
Tania
Tanja
Tatiana
Tatjana
Teresa
Tessa
Thao
Thea
theda
Theresa
Therese
Theresia
Thi
Thurid
Tian
Tilly
Timea
Tina
tinca
tine
Titia
Tomoko
tor
Tosca
Traude
Traudel
traudi
Traudl
Tuba
tulalumba
Turan
Tuyen
Uli
Ulla
Ulli
Ulricke
Ulrika
Ulrike
Uly
Unda
Undine
Ursa
Ursula
Ursula-Maria
Urszula
Urte
Uschi
Usula
Uta
ute
Ute-Doris
Ute-Kerstin
Utika
Valentina
Valentyna
Valeria
Valerie
Valve
Vanessa
Varat
Varpu
Vassiliki
Vathana
Vera
Verena
Verkin
Veronika
Veronka
Vesela
Vesna
Victoria
Vida
Viktoria
Viktoriya
vinka
Viola
Violetta
Virginia
Viviane
Vivien
Volha
Walburga
Wally
Waltraud
Waltraut
Waltrun
Wanda
Wei
Wen
Wencke
Wendy
Wenke
Wibke
Wiebke
Wilma
Wiltrud
Winnie
Wolanowski
Xenia
xhiliola
Xiao
Xiaolei
Xiaoping
Xiaoying
Yana
Yasemin
Yasmin
Yasmina
yaxin
Yeter
Yildiz
Yolanda
Yoon
Yulia
Yves
Yvetta
Yvonne
Zahra
Zandra
zdena
Zdenka
Zeinah
Zekiye
Zerin
Zhihui
Zoia
Zoya
Züleyha
Änne
Öznur
özkan
özlem
